27511,27513,27518,27529,27539,27601,27603,27604,27605,27606,27607,27608,27610
,,,,,,29,,,2,,,
,,,,,,31,,,2,,,
,,,,,,31,,,2,,,
,,,,,,32,,,2,,,
,,,,,,34,,,2,,,
,,,,,,35,,,2,,,
,,,,,,35,,,2,,,
,,,,,,36,,,2,,,
,,,,,,37,,,2,,,
,,,,,,38,,,2,,,
,,,,,,40,,,2,,,
,,,,,,42,,,2,,,
,,,,,,42,,,2,,,
,,,,,,42,,,2,,,
,,,,,,42,,,2,,,
,,,,,,43,,,2,,,
,,,,,,44,,,2,,,
,,,,,,45,,,2,,,
,,,,,,46,,,2,,,
,,,,,,48,,,2,,,
,,,,,,48,,,2,,,
,,,,,,49,,,2,,,
,,,,,,50,,,2,,,
,,,,,,51,,,2,,,
,,,,,,54,,,2,,,
,,,,,,55,,,2,,,
,,,,,,56,,,2,,,
,,,,,,56,,,2,,,
,,,,,,58,,,2,,,
,,,,,,59,,,2,,,
,,,,,,63,,,2,,,
,,,,,,63,,,2,,,
,,,,,,66,,,2,,,
,,,,,,69,,,2,,,
,,,,,,70,,,2,,,
,,,,,,71,,,2,,,
,,,,,,73,,,2,,,
,,,,,,77,,,2,,,
,,,,,,77,,,2,,,
,,,,,,78,,,2,,,
,,,,,,79,,,2,,,
,,,,,,79,,,2,,,
,,,,,,79,,,2,,,
,,,,,,84,,,2,,,
,,,,,,85,,,2,,,
,,,,,,86,,,2,,,
,,,,,,87,,,2,,,
,,,,,,90,,,2,,,
,,,,,,91,,,2,,,
,,,,,,93,,,2,,,
,,,,,,94,,,2,,,
,,,,,,96,,,2,,,
,,,,,,115,,,2,,,
,,,,,,153,,,2,,,
,,,,,,160,,,2,,,
,,,,,,174,,,2,,,
,,,,,,235,,,2,,,
,,,,,,256,,,2,,,
,,,,,,312,,,2,,,
,,,,,,471,,,2,,,
,,,,,,573,,,2,,,
,,,,,,659,,,2,,,
,,,,,,716,,,2,,,
,,,,,,1134,,,2,,,
,,,,,,1153,,,2,,,
,,,,,,,,,2,,,
,,,,,,,,,2,,,
,,,,,,,,,2,,,
,,,,,,,,,2,,,
,,,,,,,,,2,,,
,,,,,,,,,2,,,
,,,,,,,,,2,,,
,,,,,,,,,2,,,
,,,,,,,,,2,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,3,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,4,,,
,,,,,,,,,5,,,
,,,,,,,,,5,,,
,,,,,,,,,5,,,
,,,,,,,,,5,,,
,,,,,,,,,5,,,
,,,,,,,,,5,,,
,,,,,,,,,5,,,
,,,,,,,,,5,,,
,,,,,,,,,5,,,
,,,,,,,,,5,,,
,,,,,,,,,5,,,
,,,,,,,,,5,,,
,,,,,,,,,5,,,
,,,,,,,,,5,,,
,,,,,,,,,5,,,
,,,,,,,,,5,,,
,,,,,,,,,5,,,
,,,,,,,,,5,,,
,,,,,,,,,5,,,
,,,,,,,,,5,,,
,,,,,,,,,5,,,
,,,,,,,,,5,,,
,,,,,,,,,5,,,
,,,,,,,,,5,,,
,,,,,,,,,5,,,
,,,,,,,,,5,,,
,,,,,,,,,5,,,
,,,,,,,,,5,,,
,,,,,,,,,5,,,
,,,,,,,,,5,,,
,,,,,,,,,5,,,
,,,,,,,,,5,,,
,,,,,,,,,5,,,
,,,,,,,,,5,,,
,,,,,,,,,5,,,
,,,,,,,,,5,,,
,,,,,,,,,5,,,
,,,,,,,,,5,,,
,,,,,,,,,5,,,
,,,,,,,,,5,,,
,,,,,,,,,5,,,
,,,,,,,,,5,,,
,,,,,,,,,5,,,
,,,,,,,,,5,,,
,,,,,,,,,5,,,
,,,,,,,,,5,,,
,,,,,,,,,5,,,
,,,,,,,,,5,,,
,,,,,,,,,5,,,
,,,,,,,,,5,,,
,,,,,,,,,5,,,
,,,,,,,,,5,,,
,,,,,,,,,5,,,
,,,,,,,,,5,,,
,,,,,,,,,5,,,
,,,,,,,,,5,,,
,,,,,,,,,5,,,
,,,,,,,,,5,,,
,,,,,,,,,5,,,
,,,,,,,,,5,,,
,,,,,,,,,5,,,
,,,,,,,,,5,,,
,,,,,,,,,5,,,
,,,,,,,,,5,,,
,,,,,,,,,5,,,
,,,,,,,,,5,,,
,,,,,,,,,5,,,
,,,,,,,,,5,,,
,,,,,,,,,5,,,
,,,,,,,,,5,,,
,,,,,,,,,5,,,
,,,,,,,,,5,,,
,,,,,,,,,5,,,
,,,,,,,,,5,,,
,,,,,,,,,5,,,
,,,,,,,,,5,,,
,,,,,,,,,5,,,
,,,,,,,,,5,,,
,,,,,,,,,5,,,
,,,,,,,,,5,,,
,,,,,,,,,5,,,
,,,,,,,,,5,,,
,,,,,,,,,5,,,
,,,,,,,,,5,,,
,,,,,,,,,5,,,
,,,,,,,,,6,,,
,,,,,,,,,6,,,
,,,,,,,,,6,,,
,,,,,,,,,6,,,
,,,,,,,,,6,,,
,,,,,,,,,6,,,
,,,,,,,,,6,,,
,,,,,,,,,6,,,
,,,,,,,,,6,,,
,,,,,,,,,6,,,
,,,,,,,,,6,,,
,,,,,,,,,6,,,
,,,,,,,,,6,,,
,,,,,,,,,6,,,
,,,,,,,,,6,,,
,,,,,,,,,6,,,
,,,,,,,,,6,,,
,,,,,,,,,6,,,
,,,,,,,,,6,,,
,,,,,,,,,6,,,
,,,,,,,,,6,,,
,,,,,,,,,6,,,
,,,,,,,,,6,,,
,,,,,,,,,6,,,
,,,,,,,,,6,,,
,,,,,,,,,6,,,
,,,,,,,,,6,,,
,,,,,,,,,6,,,
,,,,,,,,,6,,,
,,,,,,,,,6,,,
,,,,,,,,,6,,,
,,,,,,,,,6,,,
,,,,,,,,,6,,,
,,,,,,,,,6,,,
,,,,,,,,,6,,,
,,,,,,,,,6,,,
,,,,,,,,,6,,,
,,,,,,,,,6,,,
,,,,,,,,,6,,,
,,,,,,,,,6,,,
,,,,,,,,,6,,,
,,,,,,,,,6,,,
,,,,,,,,,6,,,
,,,,,,,,,6,,,
,,,,,,,,,6,,,
,,,,,,,,,6,,,
,,,,,,,,,6,,,
,,,,,,,,,6,,,
,,,,,,,,,6,,,
,,,,,,,,,6,,,
,,,,,,,,,6,,,
,,,,,,,,,6,,,
,,,,,,,,,6,,,
,,,,,,,,,7,,,
,,,,,,,,,7,,,
,,,,,,,,,7,,,
,,,,,,,,,7,,,
,,,,,,,,,7,,,
,,,,,,,,,7,,,
,,,,,,,,,7,,,
,,,,,,,,,7,,,
,,,,,,,,,7,,,
,,,,,,,,,7,,,
,,,,,,,,,7,,,
,,,,,,,,,7,,,
,,,,,,,,,7,,,
,,,,,,,,,7,,,
,,,,,,,,,7,,,
,,,,,,,,,7,,,
,,,,,,,,,7,,,
,,,,,,,,,7,,,
,,,,,,,,,7,,,
,,,,,,,,,7,,,
,,,,,,,,,7,,,
,,,,,,,,,7,,,
,,,,,,,,,7,,,
,,,,,,,,,7,,,
,,,,,,,,,7,,,
,,,,,,,,,7,,,
,,,,,,,,,7,,,
,,,,,,,,,7,,,
,,,,,,,,,7,,,
,,,,,,,,,7,,,
,,,,,,,,,7,,,
,,,,,,,,,7,,,
,,,,,,,,,7,,,
,,,,,,,,,7,,,
,,,,,,,,,7,,,
,,,,,,,,,7,,,
,,,,,,,,,8,,,
,,,,,,,,,8,,,
,,,,,,,,,8,,,
,,,,,,,,,8,,,
,,,,,,,,,8,,,
,,,,,,,,,8,,,
,,,,,,,,,8,,,
,,,,,,,,,8,,,
,,,,,,,,,8,,,
,,,,,,,,,8,,,
,,,,,,,,,8,,,
,,,,,,,,,8,,,
,,,,,,,,,8,,,
,,,,,,,,,8,,,
,,,,,,,,,8,,,
,,,,,,,,,8,,,
,,,,,,,,,8,,,
,,,,,,,,,8,,,
,,,,,,,,,8,,,
,,,,,,,,,8,,,
,,,,,,,,,8,,,
,,,,,,,,,8,,,
,,,,,,,,,8,,,
,,,,,,,,,8,,,
,,,,,,,,,8,,,
,,,,,,,,,8,,,
,,,,,,,,,8,,,
,,,,,,,,,8,,,
,,,,,,,,,8,,,
,,,,,,,,,8,,,
,,,,,,,,,8,,,
,,,,,,,,,8,,,
,,,,,,,,,8,,,
,,,,,,,,,8,,,
,,,,,,,,,9,,,
,,,,,,,,,9,,,
,,,,,,,,,9,,,
,,,,,,,,,9,,,
,,,,,,,,,9,,,
,,,,,,,,,9,,,
,,,,,,,,,9,,,
,,,,,,,,,9,,,
,,,,,,,,,9,,,
,,,,,,,,,9,,,
,,,,,,,,,9,,,
,,,,,,,,,9,,,
,,,,,,,,,9,,,
,,,,,,,,,9,,,
,,,,,,,,,9,,,
,,,,,,,,,9,,,
,,,,,,,,,9,,,
,,,,,,,,,9,,,
,,,,,,,,,9,,,
,,,,,,,,,9,,,
,,,,,,,,,9,,,
,,,,,,,,,9,,,
,,,,,,,,,9,,,
,,,,,,,,,9,,,
,,,,,,,,,9,,,
,,,,,,,,,9,,,
,,,,,,,,,9,,,
,,,,,,,,,9,,,
,,,,,,,,,9,,,
,,,,,,,,,9,,,
,,,,,,,,,10,,,
,,,,,,,,,10,,,
,,,,,,,,,10,,,
,,,,,,,,,10,,,
,,,,,,,,,10,,,
,,,,,,,,,10,,,
,,,,,,,,,10,,,
,,,,,,,,,10,,,
,,,,,,,,,10,,,
,,,,,,,,,10,,,
,,,,,,,,,10,,,
,,,,,,,,,10,,,
,,,,,,,,,10,,,
,,,,,,,,,10,,,
,,,,,,,,,10,,,
,,,,,,,,,10,,,
,,,,,,,,,10,,,
,,,,,,,,,10,,,
,,,,,,,,,10,,,
,,,,,,,,,10,,,
,,,,,,,,,10,,,
,,,,,,,,,10,,,
,,,,,,,,,10,,,
,,,,,,,,,11,,,
,,,,,,,,,11,,,
,,,,,,,,,11,,,
,,,,,,,,,11,,,
,,,,,,,,,11,,,
,,,,,,,,,11,,,
,,,,,,,,,11,,,
,,,,,,,,,11,,,
,,,,,,,,,11,,,
,,,,,,,,,11,,,
,,,,,,,,,11,,,
,,,,,,,,,12,,,
,,,,,,,,,12,,,
,,,,,,,,,12,,,
,,,,,,,,,12,,,
,,,,,,,,,12,,,
,,,,,,,,,12,,,
,,,,,,,,,12,,,
,,,,,,,,,13,,,
,,,,,,,,,13,,,
,,,,,,,,,13,,,
,,,,,,,,,13,,,
,,,,,,,,,13,,,
,,,,,,,,,13,,,
,,,,,,,,,13,,,
,,,,,,,,,13,,,
,,,,,,,,,13,,,
,,,,,,,,,13,,,
,,,,,,,,,13,,,
,,,,,,,,,14,,,
,,,,,,,,,14,,,
,,,,,,,,,14,,,
,,,,,,,,,14,,,
,,,,,,,,,14,,,
,,,,,,,,,14,,,
,,,,,,,,,14,,,
,,,,,,,,,15,,,
,,,,,,,,,15,,,
,,,,,,,,,15,,,
,,,,,,,,,15,,,
,,,,,,,,,15,,,
,,,,,,,,,15,,,
,,,,,,,,,15,,,
,,,,,,,,,15,,,
,,,,,,,,,16,,,
,,,,,,,,,16,,,
,,,,,,,,,16,,,
,,,,,,,,,16,,,
,,,,,,,,,16,,,
,,,,,,,,,16,,,
,,,,,,,,,16,,,
,,,,,,,,,16,,,
,,,,,,,,,16,,,
,,,,,,,,,16,,,
,,,,,,,,,17,,,
,,,,,,,,,17,,,
,,,,,,,,,17,,,
,,,,,,,,,17,,,
,,,,,,,,,17,,,
,,,,,,,,,18,,,
,,,,,,,,,18,,,
,,,,,,,,,18,,,
,,,,,,,,,18,,,
,,,,,,,,,18,,,
,,,,,,,,,18,,,
,,,,,,,,,18,,,
,,,,,,,,,19,,,
,,,,,,,,,19,,,
,,,,,,,,,19,,,
,,,,,,,,,19,,,
,,,,,,,,,20,,,
,,,,,,,,,20,,,
,,,,,,,,,20,,,
,,,,,,,,,20,,,
,,,,,,,,,20,,,
,,,,,,,,,20,,,
,,,,,,,,,21,,,
,,,,,,,,,21,,,
,,,,,,,,,21,,,
,,,,,,,,,21,,,
,,,,,,,,,21,,,
,,,,,,,,,21,,,
,,,,,,,,,21,,,
,,,,,,,,,22,,,
,,,,,,,,,23,,,
,,,,,,,,,23,,,
,,,,,,,,,23,,,
,,,,,,,,,23,,,
,,,,,,,,,23,,,
,,,,,,,,,23,,,
,,,,,,,,,24,,,
,,,,,,,,,24,,,
,,,,,,,,,24,,,
,,,,,,,,,24,,,
,,,,,,,,,24,,,
,,,,,,,,,24,,,
,,,,,,,,,25,,,
,,,,,,,,,25,,,
,,,,,,,,,25,,,
,,,,,,,,,25,,,
,,,,,,,,,26,,,
,,,,,,,,,26,,,
,,,,,,,,,26,,,
,,,,,,,,,26,,,
,,,,,,,,,27,,,
,,,,,,,,,27,,,
,,,,,,,,,28,,,
,,,,,,,,,29,,,
,,,,,,,,,29,,,
,,,,,,,,,29,,,
,,,,,,,,,30,,,
,,,,,,,,,30,,,
,,,,,,,,,31,,,
,,,,,,,,,31,,,
,,,,,,,,,31,,,
,,,,,,,,,32,,,
,,,,,,,,,32,,,
,,,,,,,,,34,,,
,,,,,,,,,34,,,
,,,,,,,,,34,,,
,,,,,,,,,34,,,
,,,,,,,,,34,,,
,,,,,,,,,35,,,
,,,,,,,,,35,,,
,,,,,,,,,36,,,
,,,,,,,,,36,,,
,,,,,,,,,38,,,
,,,,,,,,,39,,,
,,,,,,,,,39,,,
,,,,,,,,,39,,,
,,,,,,,,,39,,,
,,,,,,,,,39,,,
,,,,,,,,,42,,,
,,,,,,,,,42,,,
,,,,,,,,,43,,,
,,,,,,,,,44,,,
,,,,,,,,,45,,,
,,,,,,,,,45,,,
,,,,,,,,,47,,,
,,,,,,,,,48,,,
,,,,,,,,,48,,,
,,,,,,,,,49,,,
,,,,,,,,,50,,,
,,,,,,,,,51,,,
,,,,,,,,,52,,,
,,,,,,,,,53,,,
,,,,,,,,,54,,,
,,,,,,,,,55,,,
,,,,,,,,,56,,,
,,,,,,,,,57,,,
,,,,,,,,,58,,,
,,,,,,,,,59,,,
,,,,,,,,,62,,,
,,,,,,,,,62,,,
,,,,,,,,,63,,,
,,,,,,,,,63,,,
,,,,,,,,,67,,,
,,,,,,,,,67,,,
,,,,,,,,,68,,,
,,,,,,,,,72,,,
,,,,,,,,,75,,,
,,,,,,,,,76,,,
,,,,,,,,,77,,,
,,,,,,,,,77,,,
,,,,,,,,,78,,,
,,,,,,,,,81,,,
,,,,,,,,,81,,,
,,,,,,,,,82,,,
,,,,,,,,,85,,,
,,,,,,,,,87,,,
,,,,,,,,,87,,,
,,,,,,,,,93,,,
,,,,,,,,,97,,,
,,,,,,,,,107,,,
,,,,,,,,,108,,,
,,,,,,,,,109,,,
,,,,,,,,,115,,,
,,,,,,,,,117,,,
,,,,,,,,,122,,,
,,,,,,,,,125,,,
,,,,,,,,,129,,,
,,,,,,,,,132,,,
,,,,,,,,,138,,,
,,,,,,,,,143,,,
,,,,,,,,,145,,,
,,,,,,,,,158,,,
,,,,,,,,,170,,,
,,,,,,,,,175,,,
,,,,,,,,,219,,,
,,,,,,,,,252,,,
,,,,,,,,,267,,,
,,,,,,,,,275,,,
,,,,,,,,,292,,,
,,,,,,,,,359,,,
,,,,,,,,,473,,,
,,,,,,,,,839,,,
,,,,,,,,,895,,,
